show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s001,TV Show,Stranger Things,The Duffer Brothers,"Millie Bobby Brown, Finn Wolfhard",United States,2021-07-15,2016,TV-14,4 Seasons,"Sci-Fi & Fantasy, Drama",A group of friends uncover supernatural mysteries in their town.
s002,Movie,Red Notice,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot",United States,2021-11-12,2021,PG-13,118 min,"Action & Adventure, Comedy",An FBI agent teams up with a skilled thief to catch a criminal.
s003,TV Show,Sacred Games,"Vikramaditya Motwane, Anurag Kashyap","Nawazuddin Siddiqui, Saif Ali Khan",India,2018-07-06,2018,TV-MA,2 Seasons,"Crime, Drama, Thriller",A troubled cop receives a mysterious warning about a city under threat.
s004,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,2019-11-27,2019,R,209 min,"Crime, Drama, Biography",A mob hitman reflects on his life and the disappearance of a union leader.
s005,TV Show,Money Heist,Alex Pina,"Ursula Corbero, Alvaro Morte",Spain,2017-05-02,2017,TV-MA,5 Seasons,"Crime, Drama, Thriller",A criminal mastermind plans a series of ambitious heists.
s006,Movie,Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal",United States,2020-04-24,2020,R,117 min,"Action & Adventure, Thriller",A black-market mercenary undertakes a dangerous rescue mission.
s007,Movie,Dangal,Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh",India,2017-06-01,2016,TV-PG,161 min,"Dramas, International Movies, Sports",A former wrestler trains his daughters to compete internationally.
s008,TV Show,Dark,Baran bo Odar,"Louis Hofmann, Lisa Vicari",Germany,2019-06-27,2017,TV-MA,3 Seasons,"Crime, Drama, Mystery",A missing child exposes secrets spanning several generations.
s009,Movie,Enola Holmes,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill",United Kingdom,2020-09-23,2020,PG-13,123 min,"Action & Adventure, Children & Family Movies",A young detective searches for her missing mother.
s010,TV Show,The Crown,Peter Morgan,"Claire Foy, Olivia Colman",United Kingdom,2020-11-15,2016,TV-MA,6 Seasons,"Drama, British TV Shows",A historical drama following the British royal family.
s011,Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",India,2018-01-01,2009,PG-13,170 min,"Comedies, Dramas, International Movies","Three engineering students navigate friendship, pressure, and ambition."
s012,Movie,Bird Box,Susanne Bier,"Sandra Bullock, Trevante Rhodes",United States,2018-12-21,2018,R,124 min,"Horror Movies, Sci-Fi & Fantasy",A mother attempts to protect her children from an unseen threat.
s013,TV Show,Wednesday,"Alfred Gough, Miles Millar","Jenna Ortega, Catherine Zeta-Jones",United States,2022-11-23,2022,TV-14,1 Season,"Comedy, Fantasy, Teen TV Shows",Wednesday Addams investigates strange events at her school.
s014,Movie,RRR,S. S. Rajamouli,"N. T. Rama Rao Jr., Ram Charan",India,2022-05-20,2022,TV-14,182 min,"Action & Adventure, International Movies",Two revolutionaries form a powerful friendship while fighting oppression.
s015,TV Show,Breaking Bad,Vince Gilligan,"Bryan Cranston, Aaron Paul",United States,2013-08-01,2008,TV-MA,5 Seasons,"Crime, Drama, TV Thrillers",A chemistry teacher enters the illegal drug trade.
s016,Movie,Glass Onion,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monae",United States,2022-12-23,2022,PG-13,139 min,"Comedies, Dramas, Mysteries",A detective investigates a murder mystery on a private island.
s017,TV Show,Peaky Blinders,Steven Knight,"Cillian Murphy, Paul Anderson",United Kingdom,2022-06-10,2013,TV-MA,6 Seasons,"British TV Shows, Crime, Drama",A gangster family builds its empire in post-war Birmingham.
s018,Movie,The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield",United States,2020-01-10,2010,PG-13,121 min,Dramas,A story about the creation and growth of a major social network.
s019,Movie,KGF: Chapter 1,Prashanth Neel,"Yash, Srinidhi Shetty",India,2019-07-01,2018,TV-14,156 min,"Action & Adventure, International Movies",A determined man rises through the ranks of a dangerous mining empire.
s020,TV Show,The Witcher,Lauren Schmidt Hissrich,"Henry Cavill, Anya Chalotra",United States,2021-12-17,2019,TV-MA,3 Seasons,"Action, Adventure, Fantasy",A monster hunter struggles to find his place in a dangerous world.
s021,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",United States,2020-06-01,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy",A skilled thief enters dreams to steal valuable information.
s022,Movie,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh",India,2020-08-15,2001,PG,224 min,"Dramas, International Movies, Sports",Villagers challenge colonial rulers to a cricket match.
